Task
(Developer) DPT Preparation - Deliverable Tracker/Visit IDs tabs
(Project Manager) DPT Preparation - Deliverable Tracker tab
(Data Manager) DPT Preparation - Deliverable Tracker tab
(Developer) Amendment Preparation - Deliverable Tracker/Visit IDs tabs
(Project Manager) Amendment Preparation - Deliverable Tracker tab
(Data Manager) Amendment Preparation - Deliverable Tracker tab
(Developer) Amendment Preparation - Playground testing and assessment
(Project Manager) Validation of Visit ID DPT tab
(Data Manager) Validation of Visit ID DPT tab
(Project Manager) Deliverable #1 - CRF content development
(Developer) Deliverable #1 Build - CRFs and related rules
(Peer Reviewer) Deliverable #1 Review - CRFs and related rules
(Project Manager) Deliverable #2 - CRF content development
(Developer) Deliverable #2 Build - CRFs and related rules
(Peer Reviewer) Deliverable #2 Review - CRFs and related rules
(Project Manager) Deliverable #3 - CRF content development
(Developer) Deliverable #3 Build - CRFs and related rules
(Peer Reviewer) Deliverable #3 Review - CRFs and related rules
(Project Manager) Deliverable #4 - CRF content development
(Developer) Deliverable #4 Build - CRFs and related rules
(Peer Reviewer) Deliverable #4 Review - CRFs and related rules
(Project Manager) Supplemental CCGs Development/DMP Review
(Data Manager) Supplemental CCG Review/DMP Creation
(Developer) Casebook Schedule Build/Validation - CRFs and related rules
(Peer Reviewer) Review/Validate Casebook Schedule - CRFs and related rules
(Developer) Updating CRFs/schedule based on feedback
(Data Manager) Training Script Draft
(Project Manager) Training Script Review
(PM UAT Reviewer) UAT #1 Review
(DM UAT Reviewer) UAT #1 Review
(PM UAT Reviewer) UAT #2 Review
(DM UAT Reviewer) UAT #2 Review
(PM UAT Reviewer) UAT #3 Review
(DM UAT Reviewer) UAT #3 Review
(PM UAT Reviewer) UAT #4 Review
(DM UAT Reviewer) UAT #4 Review
(Project Manager) CRF review and finalization from all stakeholders - All Deliverables
(Developer) Incorporate feedback from all stakeholders - All Deliverables
(Developer) Training Script Review
